,Name,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price
0,Maruti Wagon R,2010,72000,CNG,First,175000
1,Hyundai Creta 1.6,2015,41000,Diesel,First,1250000
2,Honda Jazz V,2011,46000,Petrol,First,450000
3,Maruti Ertiga VDI,2012,87000,Diesel,First,600000
4,Audi A4 New,2013,40670,Diesel,Second,1773999
5,Hyundai EON LPG,2012,75000,LPG,First,235000
6,Nissan Micra Diesel,2013,86999,Diesel,First,350000
7,Toyota Innova Crysta,2016,36000,Diesel,First,1750000
8,Volkswagen Vento Diesel,2013,64430,Diesel,First,520000
9,Tata Indica Vista,2012,65932,Diesel,Second,195000
10,Maruti Ciaz Zeta,2018,25692,Petrol,First,994999
11,Honda City 1.5,2012,60000,Petrol,First,449000
12,Maruti Swift VDI,2015,64424,Diesel,First,560000
13,Land Rover Range,2014,72000,Diesel,First,2700000
14,Land Rover Freelander,2012,85000,Diesel,Second,1750000
15,Mitsubishi Pajero Sport,2014,110000,Diesel,First,1500000
16,Honda Amaze S,2016,58950,Diesel,First,540000
17,Maruti Swift DDiS,2017,25000,Diesel,First,599000
18,Renault Duster 85PS,2014,77469,Diesel,First,634000
19,Mercedes-Benz New C-Class,2014,78500,Diesel,First,2800000
20,BMW 3 Series,2014,32982,Diesel,First,1855000
21,Maruti S Cross,2015,55392,Diesel,Second,825000
22,Audi A6 2011-2015,2015,55985,Petrol,First,2350000
23,Hyundai i20 1.2,2010,45807,Petrol,First,187000
24,Volkswagen Vento Petrol,2010,33000,Petrol,First,285000
25,Honda City Corporate,2012,51920,Petrol,First,425000
26,Nissan Micra Diesel,2012,54000,Diesel,First,425000
27,Maruti Alto K10,2013,54000,Petrol,Second,275000
28,Honda WRV i-VTEC,2018,37430,Petrol,First,990000
29,Toyota Innova 2.5,2007,262000,Diesel,Fourth & Above,400000
30,Renault Duster 110PS,2013,62000,Diesel,First,775000
31,Toyota Corolla Altis,2012,87615,Petrol,First,675000
32,Mahindra Ssangyong Rexton,2013,72000,Diesel,Second,1250000
33,Audi A6 2.7,2010,35000,Diesel,First,1150000
34,Volkswagen Vento 1.6,2014,55431,Petrol,Second,698000
35,Maruti Wagon R,2009,83816,Petrol,Second,185000
36,Maruti Vitara Brezza,2018,50075,Diesel,First,863000
37,Mahindra KUV 100,2017,52000,Petrol,First,484999
38,Mercedes-Benz M-Class ML,2013,85000,Diesel,First,2800000
39,Volkswagen Polo Diesel,2013,62000,Diesel,First,500000
40,Maruti Alto LXi,2008,90000,Petrol,Second,125000
41,Tata Nano LX,2014,19698,Petrol,First,153000
42,Mahindra KUV 100,2017,22033,Diesel,First,558000
43,Hyundai i20 Magna,2014,35487,Petrol,First,474000
44,Hyundai Elantra 2.0,2014,46374,Petrol,First,885000
45,Toyota Corolla Altis,2016,52001,Petrol,First,1011000
46,Hyundai Elantra CRDi,2008,58005,Diesel,Second,425000
47,Toyota Innova Crysta,2012,70704,Petrol,First,1095000
48,Hyundai Xcent 1.1,2014,75000,Diesel,First,385000
49,Mahindra Thar CRDe,2012,75800,Diesel,Second,550000
50,Audi A4 2.0,2015,13648,Diesel,First,2143000
51,Maruti Swift LDI,2014,52000,Diesel,First,425000
52,Maruti Swift Ldi,2014,53000,Diesel,First,330000
53,Maruti Swift VDI,2013,65650,Diesel,First,385000
54,Hyundai Grand i10,2015,54000,Petrol,Third,360000
55,Volkswagen Vento 2013-2015,2015,39000,Petrol,First,399000
56,Renault KWID RXT,2017,16542,Petrol,First,330000
57,Hyundai i10 Asta,2010,32000,Petrol,First,206999
58,Nissan X-Trail SLX,2010,121812,Diesel,First,775000
59,Maruti Zen Estilo,2010,39300,Petrol,First,225000
60,Toyota Innova Crysta,2017,22000,Diesel,First,1650000
61,Ford Figo Diesel,2010,72000,Diesel,First,275000
62,Mercedes-Benz New C-Class,2015,58000,Petrol,First,2670000
63,Mercedes-Benz New C-Class,2011,65000,Diesel,Second,1000000
64,Tata Indica V2,2016,178000,Diesel,First,250000
65,Audi A4 2.0,2012,65664,Diesel,First,1350000
66,Honda City ZX,2007,63000,Petrol,Second,185000
67,Mercedes-Benz C-Class Progressive,2019,15369,Diesel,First,3567000
68,Maruti Ertiga SHVS,2016,63000,Diesel,First,815000
69,Hyundai Creta 1.4,2018,13000,Diesel,First,1050000
70,Porsche Cayenne 2009-2014,2008,73000,Petrol,First,1450000
71,Mahindra XUV500 W8,2015,55729,Diesel,First,965000
72,Hyundai i10 Sportz,2012,45178,Petrol,First,348000
73,Nissan Terrano XV,2015,56066,Diesel,First,692000
74,Honda Brio VX,2016,37300,Petrol,Second,646000
75,Audi A6 2.0,2014,56000,Diesel,Second,2950000
76,Ford Fiesta 1.4,2008,111111,Diesel,First,200000
77,Toyota Innova 2.0,2006,230000,Petrol,Third,450000
78,Toyota Innova 2.5,2012,104000,Diesel,First,1175000
79,Hyundai Santro Xing,2005,87591,Petrol,First,130000
80,Maruti Swift VDI,2012,95100,Diesel,First,375000
81,Tata Zest Revotron,2017,70000,Petrol,First,450000
82,Honda Amaze SX,2016,54944,Petrol,First,482000
83,Ford Figo Diesel,2012,70337,Diesel,First,280000
84,Maruti Ritz VDi,2013,99638,Diesel,First,311000
85,Honda City i,2009,52000,Petrol,First,325000
86,BMW 5 Series,2011,75000,Diesel,Second,1390000
87,Hyundai i10 Sportz,2009,95980,Petrol,First,225000
88,Hyundai Grand i10,2016,16000,Petrol,First,575000
89,Hyundai Santro Xing,2007,73745,Petrol,First,210000
90,Honda Amaze SX,2016,18949,Petrol,First,500000
91,Toyota Fortuner 4x2,2014,107000,Diesel,First,1650000
92,Audi A6 2011-2015,2018,48367,Diesel,First,3958000
93,Ford Ecosport 1.5,2013,57000,Diesel,First,550000
94,Mahindra XUV500 W8,2014,58000,Diesel,First,810000
95,Honda Amaze SX,2015,30000,Diesel,First,350000
96,Volkswagen Polo Diesel,2013,34212,Diesel,First,279000
97,Hyundai Verna Transform,2010,70002,Diesel,First,345000
98,Maruti Wagon R,2016,62000,Petrol,First,445000
99,Volkswagen Polo Petrol,2010,62001,Petrol,First,265000
100,Hyundai i20 1.4,2011,78958,Diesel,Second,380000
101,Hyundai i20 Asta,2014,30180,Petrol,First,465000
102,Datsun GO Plus,2017,32851,Petrol,First,395000
103,Audi A4 3.0,2010,30000,Diesel,First,980000
104,Hyundai i20 2015-2017,2009,66000,Petrol,Second,270000
105,Maruti Omni 5,2010,93850,Petrol,First,241000
106,Toyota Etios Liva,2014,53000,Petrol,First,390000
107,Jaguar XF 3.0,2011,78000,Diesel,Second,2400000
108,Mahindra XUV500 W8,2012,65000,Diesel,Second,575000
109,Hyundai Verna 1.6,2014,40000,Diesel,First,525000
110,Toyota Innova Crysta,2017,30000,Diesel,First,1925000
111,Maruti Eeco 5,2017,38053,Petrol,First,391000
112,Tata Nano Twist,2014,25500,Petrol,First,215000
113,BMW 3 Series,2015,56087,Diesel,First,2075000
114,Honda Civic 2006-2010,2010,71088,Petrol,First,335000
115,Toyota Innova 2.5,2014,55000,Diesel,First,1111000
116,Volvo V40 Cross,2014,32700,Diesel,First,2000000
117,Nissan Micra XV,2016,39882,Petrol,First,655000
118,BMW 5 Series,2009,128000,Petrol,First,700000
119,Maruti Vitara Brezza,2016,55000,Diesel,First,750000
120,Hyundai Santro Xing,2005,102000,Petrol,Second,85000
121,Mercedes-Benz B Class,2014,53753,Diesel,Second,1675000
122,Hyundai Verna CRDi,2018,10250,Diesel,First,1095000
123,Maruti Wagon R,2011,43874,Petrol,First,245000
124,Tata Nano XTA,2017,32684,Petrol,First,323000
125,Mahindra Scorpio VLX,2014,42000,Diesel,First,775000
126,Mercedes-Benz New C-Class,2009,28352,Petrol,First,935000
127,Maruti Wagon R,2013,89900,CNG,First,325000
128,Honda CR-V 2.4,2007,47700,Petrol,Second,525000
129,Volkswagen Vento 1.5,2015,55000,Diesel,First,725000
130,Maruti Ciaz VXi,2017,44285,Petrol,First,747000
131,Mahindra XUV500 AT,2016,54000,Diesel,First,1325000
132,Maruti Ritz VXI,2016,30232,Petrol,First,581000
133,Maruti Alto K10,2014,88500,Petrol,First,260000
134,Mercedes-Benz SLC 43,2017,13372,Petrol,First,5400000
135,Hyundai Verna VTVT,2019,12645,Petrol,First,1150000
136,Maruti Alto LXi,2010,94385,Petrol,Second,160000
137,BMW 1 Series,2015,31821,Diesel,First,1722000
138,Honda Jazz 1.2,2015,12000,Petrol,First,600000
139,Honda Civic 2006-2010,2012,88578,Petrol,First,395000
140,Mercedes-Benz New C-Class,2014,44965,Diesel,First,1795000
141,Honda Amaze SX,2014,45044,Diesel,First,370000
142,Maruti Swift VVT,2016,34204,Petrol,First,543000
143,Hyundai Santro Xing,2008,80759,Petrol,Third,167000
144,Toyota Fortuner 3.0,2012,91235,Diesel,First,1349000
145,Chevrolet Beat LT,2014,38800,Petrol,First,285000
146,Skoda Rapid 1.5,2013,83000,Diesel,First,475000
147,Maruti Ciaz 1.4,2018,41283,Petrol,First,990000
148,Audi RS5 Coupe,2013,23000,Petrol,First,3700000
149,BMW 3 Series,2014,48000,Diesel,First,2650000
150,Audi A4 2.0,2015,48214,Diesel,First,2332000
151,Maruti Swift VDI,2016,35000,Diesel,First,625000
152,Mercedes-Benz S Class,2010,35277,Petrol,First,3000000
153,Skoda Rapid 1.5,2016,54620,Diesel,First,986000
154,Skoda Superb Elegance,2012,136997,Diesel,First,850000
155,Hyundai EON Magna,2019,14322,Petrol,First,423000
156,Volkswagen Polo Diesel,2012,65634,Diesel,First,350000
157,Datsun GO NXT,2016,6000,Petrol,First,250000
158,Honda Brio S,2013,33280,Petrol,First,239000
159,Mercedes-Benz B Class,2013,29000,Petrol,First,1125000
160,Honda City i,2015,42831,Diesel,First,711000
161,Toyota Innova 2.5,2016,90000,Diesel,First,1090000
162,Maruti Swift VXI,2017,24005,Petrol,First,620000
163,Mahindra XUV500 W8,2012,32792,Diesel,First,790000
164,Ford Ecosport 1.5,2014,147898,Diesel,First,442000
165,Toyota Fortuner 4x2,2012,131765,Diesel,First,1350000
166,Volkswagen Vento 1.5,2013,65000,Diesel,First,625000
167,Ford Figo Diesel,2010,66123,Diesel,Second,210000
168,BMW X5 xDrive,2015,41000,Diesel,First,4500000
169,Mercedes-Benz New C-Class,2017,23550,Diesel,First,3365999
170,Honda Brio V,2012,45000,Petrol,Second,365000
171,Hyundai i10 Magna,2013,60000,Petrol,First,275000
172,Mercedes-Benz GLC 220,2016,44414,Diesel,First,4250000
173,Hyundai Grand i10,2019,1000,Petrol,First,650000
174,Audi A6 2011-2015,2012,62500,Diesel,Second,1900000
175,Volkswagen Vento Petrol,2013,21000,Petrol,Second,445000
176,Mini Countryman Cooper,2017,8525,Diesel,Second,2300000
177,Hyundai i20 Asta,2014,29000,Diesel,First,835000
178,Audi A6 2011-2015,2014,40000,Diesel,First,2295000
179,Chevrolet Beat Diesel,2012,88000,Diesel,First,150000
180,Skoda Superb Elegance,2012,53537,Petrol,First,689000
181,Ford Fiesta 1.4,2006,216000,Diesel,Second,145000
182,BMW 5 Series,2014,51000,Diesel,First,3350000
183,Chevrolet Optra Magnum,2007,118500,Petrol,First,125000
184,Volkswagen Polo Diesel,2012,63000,Diesel,First,420000
185,Renault Lodgy 110PS,2015,25000,Diesel,First,675000
186,Mercedes-Benz E-Class E250,2014,37382,Diesel,First,3200000
187,Maruti Baleno Alpha,2017,24773,Petrol,First,750000
188,Hyundai Verna 1.6,2012,62000,Diesel,First,459999
189,Hyundai i10 Magna,2017,52340,Petrol,First,404000
190,Mahindra Scorpio 1.99,2016,56739,Diesel,First,1031000
191,Land Rover Range,2018,36091,Diesel,First,5576000
192,Ford Figo Diesel,2010,120000,Diesel,First,260000
193,Maruti Ertiga ZDI,2016,33000,Diesel,First,850000
194,Honda City 1.5,2007,60006,Petrol,First,295000
195,Honda Amaze S,2014,52000,Diesel,First,350000
196,Hyundai i10 Magna,2015,43571,Petrol,First,355000
197,Honda Amaze S,2013,50000,Diesel,First,325000
198,Skoda Laura Ambiente,2008,113000,Diesel,First,450000
199,Renault Duster 85PS,2014,90000,Diesel,First,535000
200,Mahindra NuvoSport N6,2017,29000,Diesel,Second,650000
201,Maruti Vitara Brezza,2016,20000,Diesel,First,900000
202,Hyundai i20 Asta,2016,61012,Petrol,First,600000
203,Skoda Fabia 1.4,2009,87459,Petrol,First,275000
204,Tata Indigo eCS,2010,70500,Petrol,First,150000
205,Audi Q3 2012-2015,2015,64103,Diesel,First,1989999
206,Skoda Octavia Elegance,2014,76000,Petrol,First,1000000
207,Toyota Etios Liva,2014,104000,Diesel,First,300000
208,Maruti Swift 1.3,2010,42001,Petrol,First,211000
209,Mercedes-Benz B Class,2014,37245,Petrol,First,1196000
210,Honda Amaze S,2013,45000,Diesel,First,325000
211,Hyundai Verna 1.6,2012,117837,Diesel,Second,475000
212,Renault Duster 85PS,2014,30000,Diesel,First,595000
213,Hyundai Creta 1.6,2015,27057,Petrol,Second,815000
214,Maruti Wagon R,2016,8500,Petrol,First,422000
215,Mercedes-Benz New C-Class,2010,30500,Petrol,First,1050000
216,Audi A8 L,2012,56000,Diesel,First,4500000
217,Hyundai i10 Magna,2012,44000,Petrol,Second,290000
218,Skoda Rapid 1.6,2017,10500,Petrol,First,890000
219,Skoda Superb Style,2017,26000,Petrol,First,2600000
220,Hyundai i20 Active,2018,25166,Petrol,First,822000
